ProfDU,user_rating,movie_length,Director Value,Producer Power,Star Power,estmated_budget,opening_weekend,grossboxoffice
1,3.6,93,2,2,2,10000000,1771,1433049
0,6.2,85,1,1,1,80000,3284,83500
1,7,92,2,2,2,5000000,4584,124720
1,5.5,92,2,2,2,450000,6722,54020
1,6,103,3,2,1,14000000,9128,75078
1,7.1,92,2,2,3,30000000,13205,2975649
1,6,102,2,2,2,3750000,13744,128092
1,6.7,124,3,2,1,5000000,13856,267880
1,6.8,85,2,1,2,2000000,13880,50080
0,5.9,80,2,2,1,7000,16124,70071
1,6.5,86,3,2,1,1500000,16432,173066
1,6,104,3,2,2,5400000,16454,114669
1,6.1,112,2,2,1,9500000,16769,165831
0,7.1,80,2,2,1,200000,18218,856942
1,5.9,108,2,2,2,7000000,18861,453079
1,7,95,2,2,1,10000000,19487,884503
0,7.1,91,2,2,3,5500000,23144,5580479
1,5.6,106,2,2,2,12000000,25261,204331
0,6.4,85,3,2,1,15000,26029,192467
1,7.3,102,2,2,1,1500000,26236,406035
1,6.5,96,2,2,1,900000,27546,381186
1,7.8,88,3,2,2,4500000,27674,871577
1,6.4,98,2,2,3,3500000,28091,101228
1,6.1,122,2,2,3,16800000,28815,2281089
1,5,98,2,2,1,4750000,29157,206624
1,5.6,122,2,2,1,8000000,29483,52526
1,6.9,114,2,2,1,3000000,32407,176300
1,5.9,80,1,2,2,2000000,32764,53760
1,5.8,98,1,1,1,500000,33088,295468
0,7.1,88,2,2,2,800000,33166,2073984
1,7.1,97,1,1,1,1000000,33236,187474
1,6.5,99,1,1,1,6000000,33616,364636
1,6.3,104,2,1,1,3500000,36938,220234
0,7.2,110,2,2,1,1000000,41860,1706325
0,7,109,2,2,1,1800000,41967,3050934
0,7.1,122,2,2,2,6000000,44244,8596914
1,6.6,120,2,2,1,1800000,44370,87939
1,5.7,107,2,2,3,10000000,45714,580862
1,7.1,108,1,1,1,2500000,46791,548712
1,6.6,101,2,2,2,4000000,53944,342297
0,7.5,147,2,2,3,60800000,55527,132180323
1,6.3,113,2,2,2,7000000,55765,4760014
0,6,86,2,2,1,500000,55946,1114943
1,6.2,103,1,1,1,950000,56900,814666
0,6.9,95,3,2,3,7000000,56941,34099640
1,6.6,104,2,2,1,2500000,58570,305688
1,7.3,134,3,2,3,30000000,61070,1731665
